name,longitude,latitude
Gogoro 電池交換站,121.54259,24.9993709
Unnamed,121.3932308,25.0475345
Unnamed,121.4097668,24.8280282
Gogoro 電池交換站,120.2105661,22.9911558
Gogoro 電池交換站,120.4952413,22.8825522
ionex,121.0233748,24.8678707
Unnamed,120.2187355,23.0064042
Gogoro 電池交換站,120.4760022,23.9635156
Gogoro 電池交換站,120.2679359,22.6119457
U-POWER 充電站,121.3069982,24.969691
U-POWER,121.5737495,24.9980262
Unnamed,121.2934442,24.9982439
Gogoro 電池交換站,120.4445508,23.7096002
Gogoro 電池交換站,120.2311901,23.0083057
Gogoro 電池交換站,120.1347125,23.0685968
Unnamed,121.6963989,25.1569924
Gogoro 電池交換站,121.5561181,25.0849187
集賢館充電樁（快充）,121.5473529,23.9021918
行政大樓充電樁（快充）,121.5425581,23.8944327
理工三館充電樁（快充）,121.5450979,23.8973724
理工三館充電樁（慢充）,121.5451209,23.8973153
東華會館充電樁（快充）,121.5480916,23.8954317
東華會館充電樁（慢充）,121.5481261,23.8953758
多容館充電樁（慢充）,121.5344026,23.8948194
多容館充電樁（快充）,121.5343769,23.8949086
Unnamed,120.2180147,22.996648
Gogoro 電池交換站,121.6961509,25.1558856
Unnamed,121.4109587,25.0211694
