access,addr:city,addr:country,addr:district,addr:floor,addr:full,addr:housenumber,addr:place,addr:postcode,addr:province,addr:street,amenity,bicycle,branch,brand,brand:en,brand:wikidata,brand:wikipedia,capacity,capacity:motorcar,charging,charging_station:battery_swapping,construction,covered,description,fee,fuel:octane_92,fuel:octane_95,fuel:octane_98,layer,level,mobile_phones,moped,motorcar,motorcycle,name,name:en,name:ja,name:zh,netbook,network,note,opening_hours,operator,operator:wikidata,operator:wikipedia,parking:fee,payment:app,phone,postal_code,ref,scooter,short_name,socket,socket:j1772,socket:tesla_supercharger,socket:tesla_supercharger:output,socket:type1,socket:type1:output,socket:type2_combo,socket:type2_combo:output,truck,voltage,website,wheelchair,longitude,latitude
,臺中市,TW,豐原區,,,500,,420,,成功路,charging_station,,家樂福豐原店站,,,,,,,,,,,,,,,,,,,,,,Gogoro 電池交換站,,,,,,,,睿能創意股份有限公司,,,,,,,,,,,,,,,,,,,,,,120.7067339,24.2520085
,臺中市,TW,豐原區,1,,6,,,,豐西街,charging_station,,Gogoro 豐原中山服務中心站,Gogoro 電池交換站,,Q19880591,,,,,,,,,,,,,,,,,,,Gogoro 電池交換站,,,,,,,,Gogoro 電池交換站,Q19880591,,,,,,,,,,,,,,,,,,,,,120.715095,24.2518884
,臺中市,TW,豐原區,,,38,,,,中正路,charging_station,,Gogoro 豐原中正門市店站,Gogoro 電池交換站,,Q19880591,,,,,,,,,,,,,,,,,,,Gogoro 電池交換站,,,,,,,,Gogoro 電池交換站,Q19880591,,,,,,,,,,,,,,,,,,,,,120.721814,24.2532352
,,,,,,,,,,,charging_station,,HiLife 豐原豐民店站,Gogoro 電池交換站,,Q19880591,,,,,,,,,,,,,,,,,,,Gogoro 電池交換站,,,,,,,,Gogoro 電池交換站,Q19880591,,,,,,,,,,,,,,,,,,,,,120.7207349,24.2539072
,臺中市,TW,豐原區,,,171,,42048,,豐東路,charging_station,,全聯豐原豐東店站,Gogoro 電池交換站,,Q19880591,,,,,,,,,,,,,,,,,,,Gogoro 電池交換站,,,,,,,,Gogoro 電池交換站,Q19880591,,,,,,,,,,,,,,,,,,,,,120.7318513,24.2503843
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,電動機車充電站,,,,,,,,,,,,,,,,,,,,,,120.6864405,24.182745
,臺中市,TW,潭子區,,,209,,42750,,勝利路,charging_station,,HiLife 潭子曇晨店站,Gogoro 電池交換站,,Q19880591,zh:Gogoro,,,,,,,,,,,,,,,,,,Gogoro 電池交換站,,,,,,,,Gogoro 電池交換站,Q19880591,zh:Gogoro,,,,,,,,,,,,,,,,,,,,120.7004031,24.2116044
,臺中市,TW,東勢區,,,678,,42353,,豐勢路,charging_station,,中油東勢加油站,Gogoro 電池交換站,,Q19880591,zh:Gogoro,,,,,,,,,,,,,,,,,,Gogoro 電池交換站,,,,,,,,Gogoro 電池交換站,Q19880591,zh:Gogoro,,,,,,,,,,,,,,,,,,,,120.8241057,24.2616816
,臺中市,TW,和平區,,,5,,,,東關路三段,charging_station,,中油台中和平加油站,Gogoro 電池交換站,,Q19880591,zh:Gogoro,,,,,,,,,,,,,,,,,,Gogoro 電池交換站,,,,,,,,Gogoro 電池交換站,Q19880591,zh:Gogoro,,,,,,,,,,,,,,,,,,,,120.9037133,24.169174
,臺中市,TW,豐原區,,,588,,,,豐勢路一段,charging_station,,中油翁子加油站,,,,,,,,,,,,,,,,,,,,,,Gogoro 電池交換站,,,,,,,,英屬開曼群島商睿能新動力股份有限公司台灣分公司,,,,,,42085,,,,,,,,,,,,,,,,120.7345849,24.2596126
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,no,,,,,,,,,,手機充電站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.5584246,22.6592239
,臺中市,TW,北屯區,,,951,,,,北屯路,charging_station,,中油北屯加油站,Gogoro 電池交換站,,Q19880591,,,,,,,,,,,,,,,,,,,Gogoro 電池交換站,,,,,,,,Gogoro 電池交換站,Q19880591,,,,,,,,,,,,,,,,,,,,,120.7013757,24.1796568
,,,,,,,,,,,charging_station,,全聯台中北屯二店站,Gogoro 電池交換站,,Q19880591,,,,,,,,,,,,,,,,,,,Gogoro 電池交換站,,,,,,,,Gogoro 電池交換站,Q19880591,,,,,,,,,,,,,,,,,,,,,120.6989124,24.1756915
,,,,,,,,,,,charging_station,,Gogoro 北屯文心授權服務中心站,Gogoro 電池交換站,,Q19880591,,,,,,,,,,,,,,,,,,,Gogoro 電池交換站,,,,,,,,Gogoro 電池交換站,Q19880591,,,,,,,,,,,,,,,,,,,,,120.6948979,24.171295
,,,,,,,,,,,charging_station,,中油昌平路加油站,,,,,,,,,,,,,,,,,,,,,,Gogoro 電池交換站,,,,,,,,英屬開曼群島商睿能新動力股份有限公司台灣分公司,,,,,,,,,,,,,,,,,,,,,,120.6908241,24.1708963
,,,,,,,,,,,charging_station,,7-ELEVEN 豐樂店站,,,,,,,,,,,,,,,,,,,,,,Gogoro 電池交換站,,,,,,,,英屬開曼群島商睿能新動力股份有限公司台灣分公司,,,,,,,,,,,,,,,,,,,,,,120.686595,24.1935877
,臺中市,TW,北屯區,,,523,,,,四平路,charging_station,,全聯台中四平店站,,,,,,,,,,,,,,,,,,,,,,Gogoro 電池交換站,,,,,,,,英屬開曼群島商睿能新動力股份有限公司台灣分公司,,,,,,40679,,,,,,,,,,,,,,,,120.681615,24.1932693
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.7320362,24.2512589
,臺中市,TW,豐原區,,,2,,,,三和路349巷,charging_station,,HiLife 豐原三和店站,,,,,,,,,,,,,,,,,,,,,,Gogoro 電池交換站,,,,,,,,英屬開曼群島商睿能新動力股份有限公司台灣分公司,,,,,,42057,,,,,,,,,,,,,,,,120.7043227,24.2317691
,臺中市,TW,北屯區,,,613,,,,文心路四段,charging_station,,福懋文心路加油站,Gogoro 電池交換站,,Q19880591,,,,,,,,,,,,,,,,,,,Gogoro 電池交換站,,,,,,,,Gogoro 電池交換站,Q19880591,,,,,40654,,,,,,,,,,,,,,,,120.6859083,24.1725521
,,,,,,,,,,,charging_station,,福懋大甲加油站,Gogoro 電池交換站,,Q19880591,,,,,,,,,,,,,,,,,,,Gogoro 電池交換站,,,,,,,,Gogoro 電池交換站,Q19880591,,,,,,,,,,,,,,,,,,,,,120.6276461,24.3505733
,,,,,,,,,,,charging_station,,中油大甲加油站,,,,,,,,,,,,,,,,,,,,,,Gogoro 電池交換站,,,,,,,,英屬開曼群島商睿能新動力股份有限公司台灣分公司,,,,,,,,,,,,,,,,,,,,,,120.6318517,24.3547987
,,,,,,,,,,,charging_station,,全聯台中大甲店站,Gogoro 電池交換站,,Q19880591,,,,,,,,,,,,,,,,,,,Gogoro 電池交換站,,,,,,,,Gogoro 電池交換站,Q19880591,,,,,,,,,,,,,,,,,,,,,120.62005,24.3463338
,,,,,,,,,,,charging_station,,HiLife 中縣大甲店站,Gogoro 電池交換站,,Q19880591,,,,,,,,,,,,,,,,,,,Gogoro 電池交換站,,,,,,,,Gogoro 電池交換站,Q19880591,,,,,,,,,,,,,,,,,,,,,120.6168471,24.3492467
,,,,,,,,,,,charging_station,,中油大安加油站,Gogoro 電池交換站,,Q19880591,,,,,,,,,,,,,,,,,,,Gogoro 電池交換站,,,,,,,,Gogoro 電池交換站,Q19880591,,,,,,,,,,,,,,,,,,,,,120.5887668,24.3433023
,,,,,,,,,,,charging_station,,台糖月眉加油站,,,,,,,,,,,,,,,,,,,,,,Gogoro 電池交換站,,,,,,,,英屬開曼群島商睿能新動力股份有限公司台灣分公司,,,,,,,,,,,,,,,,,,,,,,120.6960391,24.3131353
,,,,,,,,,,,charging_station,,中油后里加油站,,,,,,,,,,,,,,,,,,,,,,Gogoro 電池交換站,,,,,,,,英屬開曼群島商睿能新動力股份有限公司台灣分公司,,,,,,,,,,,,,,,,,,,,,,120.7238419,24.3156965
,,,,,,,,,,,charging_station,,全聯后里文明店站,,,,,,,,,,,,,,,,,,,,,,Gogoro 電池交換站,,,,,,,,英屬開曼群島商睿能新動力股份有限公司台灣分公司,,,,,,,,,,,,,,,,,,,,,,120.7216948,24.3054759
,,,,,,,,,,,charging_station,,台糖七星加油站,,,,,,,,,,,,,,,,,,,,,,Gogoro 電池交換站,,,,,,,,英屬開曼群島商睿能新動力股份有限公司台灣分公司,,,,,,,,,,,,,,,,,,,,,,120.7239745,24.2977534
,臺中市,TW,新社區,,,13,,42641,,中和街,charging_station,,全聯台中新社店站,,,,,,,,,,,,,,,,,,,,,,Gogoro 電池交換站,,,,,,,,英屬開曼群島商睿能新動力股份有限公司台灣分公司,,,,,,,,,,,,,,,,,,,,,,120.808869,24.2482046
